,cosine_similarity,dissimilarity,base_rate,base_rate_diff,FFR,ko-us_gap,governor,president,tr1,tr2
1999-01-07,,,,,4.75,,전철환,김대중,,
1999-02-04,0.7279401698395885,0.27205983016041146,,,4.75,,전철환,김대중,,
1999-03-04,0.7333033791496064,0.2666966208503936,,,4.75,,전철환,김대중,,
1999-04-08,0.8112130143652936,0.18878698563470642,,,4.75,,전철환,김대중,,
1999-05-06,0.7596411538638087,0.2403588461361913,4.75,,4.75,0.0,전철환,김대중,,
1999-06-03,0.7743674126005426,0.22563258739945735,4.75,0.0,4.75,0.0,전철환,김대중,,
1999-07-07,0.8326430199592569,0.16735698004074306,4.75,0.0,5.0,-0.25,전철환,김대중,,
1999-08-05,0.5168820790865603,0.48311792091343975,4.75,0.0,5.0,-0.25,전철환,김대중,,
1999-09-02,0.6902567927004225,0.3097432072995775,4.75,0.0,5.25,-0.5,전철환,김대중,,
1999-10-07,0.6913254756366196,0.3086745243633804,4.75,0.0,5.25,-0.5,전철환,김대중,,
1999-11-04,0.6555262225485459,0.34447377745145413,4.75,0.0,5.25,-0.5,전철환,김대중,,
1999-12-02,0.615823592279892,0.38417640772010797,4.75,0.0,5.5,-0.75,전철환,김대중,,
2000-01-06,0.5789794457332318,0.4210205542667682,4.75,0.0,5.5,-0.75,전철환,김대중,5.69900058556051,
2000-02-10,0.6207778257590783,0.37922217424092175,5.0,1.0,5.75,-0.75,전철환,김대중,5.69900058556051,
2000-03-09,0.7081007240773716,0.29189927592262843,5.0,0.0,5.75,-0.75,전철환,김대중,5.69900058556051,
2000-04-06,0.6933711412430795,0.3066288587569205,5.0,0.0,6.0,-1.0,전철환,김대중,3.57138028682417,
2000-05-04,0.7494176894454431,0.25058231055455693,5.0,0.0,6.0,-1.0,전철환,김대중,3.57138028682417,
2000-06-08,0.6608870202563424,0.3391129797436576,5.0,0.0,6.5,-1.5,전철환,김대중,3.57138028682417,
2000-07-06,0.5931710140017395,0.40682898599826045,5.0,0.0,6.5,-1.5,전철환,김대중,5.56987852920923,
2000-08-03,0.6943301163492741,0.3056698836507259,5.0,0.0,6.5,-1.5,전철환,김대중,5.56987852920923,
2000-09-07,0.5613849609228936,0.4386150390771064,5.0,0.0,6.5,-1.5,전철환,김대중,5.56987852920923,
2000-10-05,0.6464187055285009,0.3535812944714991,5.25,1.0,6.5,-1.25,전철환,김대중,3.44394977585347,
2000-11-09,0.5215962321562397,0.47840376784376026,5.25,0.0,6.5,-1.25,전철환,김대중,3.44394977585347,
2000-12-07,0.6953214127349112,0.3046785872650888,5.25,0.0,6.5,-1.25,전철환,김대중,3.44394977585347,
2001-01-11,0.8011832904165447,0.19881670958345532,5.25,0.0,6.0,-0.75,전철환,김대중,4.49053589461179,
2001-02-08,0.8150084055914578,0.18499159440854218,5.0,1.0,5.5,-0.5,전철환,김대중,4.49053589461179,
2001-03-08,0.7486955010120334,0.2513044989879666,5.0,0.0,5.5,-0.5,전철환,김대중,4.49053589461179,
2001-04-06,0.8053926329829098,0.19460736701709025,5.0,0.0,5.0,0.0,전철환,김대중,6.35234018240425,
2001-05-08,0.7685920438985262,0.2314079561014738,5.0,0.0,4.5,0.5,전철환,김대중,6.35234018240425,
2001-06-07,0.7157959558814824,0.28420404411851763,5.0,0.0,4.0,1.0,전철환,김대중,6.35234018240425,
2001-07-05,0.6801018216818299,0.31989817831817013,4.75,1.0,3.75,1.0,전철환,김대중,4.51251842920206,
2001-08-09,0.706326458801302,0.29367354119869804,4.5,1.0,3.75,0.75,전철환,김대중,4.51251842920206,
2001-09-06,0.7935074196365854,0.20649258036341456,4.5,0.0,3.5,1.0,전철환,김대중,4.51251842920206,
2001-10-11,0.6567360733292693,0.3432639266707307,4.0,1.0,2.5,1.5,전철환,김대중,4.32430173966941,
2001-11-08,0.5975660927641694,0.4024339072358306,4.0,0.0,2.0,2.0,전철환,김대중,4.32430173966941,
2001-12-06,0.7702237348984102,0.22977626510158977,4.0,0.0,2.0,2.0,전철환,김대중,4.32430173966941,
2002-01-10,0.7984629961704426,0.20153700382955742,4.0,0.0,1.75,2.25,전철환,김대중,3.85904039005371,
2002-02-07,0.8459782539008912,0.1540217460991088,4.0,0.0,1.75,2.25,전철환,김대중,3.85904039005371,
2002-03-07,0.75366892987913,0.24633107012086997,4.0,0.0,1.75,2.25,전철환,김대중,3.85904039005371,
2002-04-04,0.6844322768676776,0.3155677231323224,4.0,0.0,1.75,2.25,박승,김대중,4.31938134180924,
2002-05-07,0.6130628427012071,0.38693715729879286,4.25,1.0,1.75,2.5,박승,김대중,4.31938134180924,
2002-06-05,0.5543761940539798,0.44562380594602025,4.25,0.0,1.75,2.5,박승,김대중,4.31938134180924,
2002-07-04,0.6790848689309121,0.32091513106908787,4.25,0.0,1.75,2.5,박승,김대중,4.34586084728843,
2002-08-06,0.6441964306935337,0.3558035693064663,4.25,0.0,1.75,2.5,박승,김대중,4.34586084728843,
2002-09-12,0.5672505582864495,0.43274944171355045,4.25,0.0,1.75,2.5,박승,김대중,4.34586084728843,
2002-10-10,0.7208936729419171,0.2791063270580829,4.25,0.0,1.75,2.5,박승,김대중,5.40227474013467,8.81081392403009
2002-11-07,0.6311961350048882,0.36880386499511175,4.25,0.0,1.25,3.0,박승,김대중,5.40227474013467,8.81081392403009
2002-12-12,0.6291745300400663,0.3708254699599337,4.25,0.0,1.25,3.0,박승,김대중,5.40227474013467,8.81081392403009
2003-01-09,0.6787503316860098,0.32124966831399016,4.25,0.0,1.25,3.0,박승,김대중,4.83604724351091,7.68093254048615
2003-02-06,0.7393447962640998,0.26065520373590023,4.25,0.0,1.25,3.0,박승,김대중,4.83604724351091,7.68093254048615
2003-03-06,0.6128587351059219,0.3871412648940781,4.25,0.0,1.25,3.0,박승,노무현,4.83604724351091,7.68093254048615
2003-04-10,0.6162068933154772,0.3837931066845228,4.25,0.0,1.25,3.0,박승,노무현,2.85843106351198,5.59698328131626
2003-05-13,0.5401132365358702,0.4598867634641298,4.0,1.0,1.25,2.75,박승,노무현,2.85843106351198,5.59698328131626
2003-06-12,0.6923970100841507,0.30760298991584933,4.0,0.0,1.25,2.75,박승,노무현,2.85843106351198,5.59698328131626
2003-07-10,0.7298853653089671,0.2701146346910329,3.75,1.0,1.0,2.75,박승,노무현,2.58711396552075,4.14858472986948
2003-08-07,0.699694738862525,0.300305261137475,3.75,0.0,1.0,2.75,박승,노무현,2.58711396552075,4.14858472986948
2003-09-09,0.699106991745172,0.300893008254828,3.75,0.0,1.0,2.75,박승,노무현,2.58711396552075,4.14858472986948
2003-10-09,0.579639975253097,0.42036002474690304,3.75,0.0,1.0,2.75,박승,노무현,4.08472016298116,3.99931971032561
2003-11-06,0.6227667449090996,0.37723325509090044,3.75,0.0,1.0,2.75,박승,노무현,4.08472016298116,3.99931971032561
2003-12-11,0.7766228883697878,0.22337711163021223,3.75,0.0,1.0,2.75,박승,노무현,4.08472016298116,3.99931971032561
2004-01-08,0.792284880680292,0.20771511931970799,3.75,0.0,1.0,2.75,박승,노무현,4.55264861781875,2.46140537361337
2004-02-06,0.8027159910165967,0.19728400898340326,3.75,0.0,1.0,2.75,박승,노무현,4.55264861781875,2.46140537361337
2004-03-11,0.7907030007796111,0.2092969992203889,3.75,0.0,1.0,2.75,박승,노무현,4.55264861781875,2.46140537361337
2004-04-08,0.7976257872910857,0.20237421270891431,3.75,0.0,1.0,2.75,박승,노무현,5.2875741545758,2.3793965661598
2004-05-06,0.7688554431439069,0.23114455685609314,3.75,0.0,1.0,2.75,박승,노무현,5.2875741545758,2.3793965661598
2004-06-10,0.8724074017087504,0.12759259829124958,3.75,0.0,1.0,2.75,박승,노무현,5.2875741545758,2.3793965661598
2004-07-08,0.7027317788965315,0.2972682211034685,3.75,0.0,1.25,2.5,박승,노무현,5.91325300965864,2.98296057534583
2004-08-12,0.727273396745517,0.27272660325448295,3.5,1.0,1.5,2.0,박승,노무현,5.91325300965864,2.98296057534583
2004-09-09,0.6551060372318199,0.3448939627681801,3.5,0.0,1.5,2.0,박승,노무현,5.91325300965864,2.98296057534583
2004-10-07,0.7545466302442532,0.24545336975574683,3.5,0.0,1.75,1.75,박승,노무현,3.67343335011405,1.89513023328102
2004-11-11,0.7710006693460141,0.22899933065398592,3.25,1.0,2.0,1.25,박승,노무현,3.67343335011405,1.89513023328102
2004-12-09,0.6540492446990348,0.3459507553009652,3.25,0.0,2.0,1.25,박승,노무현,3.67343335011405,1.89513023328102
2005-01-13,0.8097533639902196,0.19024663600978042,3.25,0.0,2.25,1.0,박승,노무현,3.35553645525006,1.13950986359338
2005-02-15,0.9282935084748863,0.07170649152511366,3.25,0.0,2.5,0.75,박승,노무현,3.35553645525006,1.13950986359338
2005-03-10,0.8965326201900612,0.10346737980993881,3.25,0.0,2.5,0.75,박승,노무현,3.35553645525006,1.13950986359338
2005-04-07,0.8837788686981582,0.11622113130184175,3.25,0.0,2.75,0.5,박승,노무현,3.42549979855149,2.15761003514752
2005-05-12,0.9094904217048286,0.09050957829517137,3.25,0.0,3.0,0.25,박승,노무현,3.42549979855149,2.15761003514752
2005-06-09,0.8728948148850962,0.12710518511490376,3.25,0.0,3.0,0.25,박승,노무현,3.42549979855149,2.15761003514752
2005-07-07,0.9170700562532351,0.08292994374676488,3.25,0.0,3.25,0.0,박승,노무현,3.06031573621856,1.37647151547671
2005-08-11,0.9222660747548281,0.07773392524517186,3.25,0.0,3.5,-0.25,박승,노무현,3.06031573621856,1.37647151547671
2005-09-08,0.9034652232055224,0.09653477679447764,3.25,0.0,3.5,-0.25,박승,노무현,3.06031573621856,1.37647151547671
2005-10-11,0.8093568993506446,0.1906431006493554,3.5,1.0,3.75,-0.25,박승,노무현,3.40545160043784,2.31928937108261
2005-11-10,0.8825972925910623,0.11740270740893766,3.5,0.0,4.0,-0.5,박승,노무현,3.40545160043784,2.31928937108261
2005-12-08,0.8760843296022249,0.12391567039777507,3.75,1.0,4.0,-0.25,박승,노무현,3.40545160043784,2.31928937108261
2006-01-12,0.8728097266416355,0.12719027335836453,3.75,0.0,4.25,-0.5,박승,노무현,3.38785853590467,2.31721968489891
