"","q","value"
"1",2002.75,8.81081392403009
"2",2003,7.68093254048615
"3",2003.25,5.59698328131626
"4",2003.5,4.14858472986948
"5",2003.75,3.99931971032561
"6",2004,2.46140537361337
"7",2004.25,2.3793965661598
"8",2004.5,2.98296057534583
"9",2004.75,1.89513023328102
"10",2005,1.13950986359338
"11",2005.25,2.15761003514752
"12",2005.5,1.37647151547671
"13",2005.75,2.31928937108261
"14",2006,2.31721968489891
"15",2006.25,3.61773018537196
"16",2006.5,3.68856186162131
"17",2006.75,4.75184616392881
"18",2007,3.05712819978505
"19",2007.25,3.87256627939781
"20",2007.5,3.29151531497299
"21",2007.75,5.24318025778969
"22",2008,6.17025026442109
"23",2008.25,7.27103689219383
"24",2008.5,8.33829646098176
"25",2008.75,7.60582062275523
"26",2009,5.41941845431967
"27",2009.25,3.17148698219292
"28",2009.5,1.85262671507616
"29",2009.75,5.03765913293172
"30",2010,4.2356657569964
"31",2010.25,3.10054952422931
"32",2010.5,2.96860209770873
"33",2010.75,4.49844981650087
"34",2011,5.39692299700766
"35",2011.25,6.02474172370556
"36",2011.5,6.06847548376334
"37",2011.75,5.71747207578436
"38",2012,3.51322184548851
"39",2012.25,3.25586547046314
"40",2012.5,2.33069991045466
"41",2012.75,3.08716286163165
"42",2013,1.56916355800077
"43",2013.25,1.17065971723526
"44",2013.5,1.18779032414481
"45",2013.75,1.57294865623464
"46",2014,0.134564758252044
"47",2014.25,0.901263952893459
"48",2014.5,1.0181855042224
"49",2014.75,0.539434679183183
"50",2015,-2.06403210940657
"51",2015.25,-1.25364512287022
"52",2015.5,-0.171818501710852
"53",2015.75,1.43106863128171
"54",2016,0.251147201749998
"55",2016.25,0.872340501495075
"56",2016.5,2.35041696554016
"57",2016.75,4.00730825136743
"58",2017,3.69988066223421
"59",2017.25,3.54120049267683
"60",2017.5,2.78729522440487
"61",2017.75,3.45044001437938
"62",2018,2.23736028831893
"63",2018.25,2.68995509317113
"64",2018.5,1.75383455171863
"65",2018.75,3.17469902895334
"66",2019,1.11676619468466
"67",2019.25,0.524516144751083
"68",2019.5,-0.438997243462816
"69",2019.75,0.164350941560603
"70",2020,2.08599244249195
"71",2020.25,1.53220058679008
"72",2020.5,2.13528703392619
"73",2020.75,2.72076349440971
"74",2021,4.44163399844653
"75",2021.25,6.8875744838184
"76",2021.5,6.41227854921306
"77",2021.75,6.67182895532416
"78",2022,5.62329455627545
"79",2022.25,5.9787937364999
"80",2022.5,7.04621630086066
"81",2022.75,4.91410191882539
"82",2023,1.87961638275402
